STATEFP,CD115FP,AFFGEOID,GEOID,LSAD,CDSESSN,ALAND,AWATER,PP_20m
13,11,5001500US1311,1311,C2,115,2773088054,70602060,41
26,03,5001500US2603,2603,C2,115,6810456342,177813904,30
36,25,5001500US3625,3625,C2,115,1321389767,1831700038,62
36,07,5001500US3607,3607,C2,115,41806002,2675060,36
36,09,5001500US3609,3609,C2,115,40267196,502409,70
36,05,5001500US3605,3605,C2,115,134511928,184543098,65
06,10,5001500US0610,0610,C2,115,4714677851,54185569,44
17,04,5001500US1704,1704,C2,115,135768215,966146,15
29,01,5001500US2901,2901,C2,115,583315316,27454150,44
37,13,5001500US3713,3713,C2,115,4744708509,107294557,30
34,06,5001500US3406,3406,C2,115,557478433,503892484,15
06,53,5001500US0653,0653,C2,115,351481125,6103481,48
42,02,5001500US4202,4202,C2,115,191878241,3607903,58
04,07,5001500US0407,0407,C2,115,530597502,1640754,71
13,07,5001500US1307,1307,C2,115,1016918880,25473538,45
48,18,5001500US4818,4818,C2,115,609365837,4427671,22
12,24,5001500US1224,1224,C2,115,265238198,33029029,68
26,09,5001500US2609,2609,C2,115,475788210,13223182,31
51,08,5001500US5108,5108,C2,115,386568076,29341577,54
04,09,5001500US0409,0409,C2,115,426237566,2984352,34
17,01,5001500US1701,1701,C2,115,669233988,2069827,26
26,13,5001500US2613,2613,C2,115,478823763,5422500,29
39,16,5001500US3916,3916,C2,115,3121758444,31188827,19
17,11,5001500US1711,1711,C2,115,726622133,15497432,18
37,04,5001500US3704,3704,C2,115,1896723122,18289922,29
12,10,5001500US1210,1210,C2,115,1130599172,205785473,60
12,22,5001500US1222,1222,C2,115,427070323,250958427,31
48,07,5001500US4807,4807,C2,115,419749088,3106191,28
48,30,5001500US4830,4830,C2,115,922881706,32969231,42
48,20,5001500US4820,4820,C2,115,517220115,1459381,38
48,26,5001500US4826,4826,C2,115,2349824427,191493155,66
04,05,5001500US0405,0405,C2,115,760019080,2390597,70
47,05,5001500US4705,4705,C2,115,3233303766,72160080,45
47,09,5001500US4709,4709,C2,115,1252906121,53667284,29
17,09,5001500US1709,1709,C2,115,272939511,1558242,28
06,43,5001500US0643,0643,C2,115,186583272,555896,54
06,19,5001500US0619,0619,C2,115,2372249381,15213802,42
06,41,5001500US0641,0641,C2,115,820177168,4159166,49
06,46,5001500US0646,0646,C2,115,185529294,2547859,62
06,40,5001500US0640,0640,C2,115,149408227,1743217,49
06,48,5001500US0648,0648,C2,115,376881305,283036860,35
25,05,5001500US2505,2505,C2,115,686548485,58599141,38
42,01,5001500US4201,4201,C2,115,202017297,30946404,23
51,03,5001500US5103,5103,C2,115,1619146552,406712430,38
51,11,5001500US5111,5111,C2,115,479602706,21188539,18
53,07,5001500US5307,5307,C2,115,372860728,339774295,43
26,01,5001500US2601,2601,C2,115,64823095449,75783678613,10
26,14,5001500US2614,2614,C2,115,480594163,97688493,21
26,08,5001500US2608,2608,C2,115,3893102432,99588318,38
36,14,5001500US3614,3614,C2,115,73725753,39260843,36
36,15,5001500US3615,3615,C2,115,37598152,6263939,85
34,01,5001500US3401,3401,C2,115,907048665,51215017,39
12,16,5001500US1216,1216,C2,115,3349916070,958648284,62
12,23,5001500US1223,1223,C2,115,486449067,184721434,60
24,07,5001500US2407,2407,C2,115,1264538611,14744815,19
55,01,5001500US5501,5501,C2,115,4475162549,2524036038,54
09,03,5001500US0903,0903,C2,115,1218128785,68639679,33
12,14,5001500US1214,1214,C2,115,714571197,234008132,59
36,13,5001500US3613,3613,C2,115,26315653,7203614,56
36,06,5001500US3606,3606,C2,115,77166992,711425,54
42,16,5001500US4216,4216,C2,115,2584021858,105025528,22
30,00,5001500US3000,3000,C1,115,376960880222,3871059371,58
34,09,5001500US3409,3409,C2,115,246845399,19505879,30
27,05,5001500US2705,2705,C2,115,351509734,16674892,63
06,34,5001500US0634,0634,C2,115,123465377,783650,53
39,08,5001500US3908,3908,C2,115,6346849932,40207235,29
39,07,5001500US3907,3907,C2,115,10009870594,64671712,17
41,04,5001500US4104,4104,C2,115,44734929671,2229798138,52
51,01,5001500US5101,5101,C2,115,10908617587,1767347311,32
