STATE|STUSAB|STATE_NAME|STATENS|ELECTORAL_VOTES|POPULATION
01|AL|Alabama|01779775|9|4874747
02|AK|Alaska|01785533|3|739795
04|AZ|Arizona|01779777|11|7016270
05|AR|Arkansas|00068085|6|3004279
06|CA|California|01779778|55|39536653
08|CO|Colorado|01779779|9|5607154
09|CT|Connecticut|01779780|7|3588184
10|DE|Delaware|01779781|3|961939
11|DC|District of Columbia|01702382|3|693972
12|FL|Florida|00294478|29|20984400
13|GA|Georgia|01705317|16|10429379
15|HI|Hawaii|01779782|4|1427538
16|ID|Idaho|01779783|4|1716943
17|IL|Illinois|01779784|20|12802023
18|IN|Indiana|00448508|11|6666818
19|IA|Iowa|01779785|6|3145711
20|KS|Kansas|00481813|6|2913123
21|KY|Kentucky|01779786|8|4454189
22|LA|Louisiana|01629543|8|4684333
23|ME|Maine|01779787|4|1335907
24|MD|Maryland|01714934|10|6052177
25|MA|Massachusetts|00606926|11|6859819
26|MI|Michigan|01779789|16|9962311
27|MN|Minnesota|00662849|10|5576606
28|MS|Mississippi|01779790|6|2984100
29|MO|Missouri|01779791|10|6113532
30|MT|Montana|00767982|3|1050493
31|NE|Nebraska|01779792|5|1920076
32|NV|Nevada|01779793|6|2998039
33|NH|New Hampshire|01779794|4|1342795
34|NJ|New Jersey|01779795|14|9005644
35|NM|New Mexico|00897535|5|2088070
36|NY|New York|01779796|29|19849399
37|NC|North Carolina|01027616|15|10273419
38|ND|North Dakota|01779797|3|755393
39|OH|Ohio|01085497|18|11658609
40|OK|Oklahoma|01102857|7|3930864
41|OR|Oregon|01155107|7|4142776
42|PA|Pennsylvania|01779798|20|12805537
44|RI|Rhode Island|01219835|4|1059639
45|SC|South Carolina|01779799|9|5024369
46|SD|South Dakota|01785534|3|869666
47|TN|Tennessee|01325873|11|6715984
48|TX|Texas|01779801|38|28304596
49|UT|Utah|01455989|6|3101833
50|VT|Vermont|01779802|3|623657
51|VA|Virginia|01779803|13|8470020
53|WA|Washington|01779804|12|7405743
54|WV|West Virginia|01779805|5|1815857
55|WI|Wisconsin|01779806|10|5795483
56|WY|Wyoming|01779807|3|579315
60|AS|American Samoa|01802701|0|55519
66|GU|Guam|01802705|0|159358
69|MP|Northern Mariana Islands|01779809|0|0
72|PR|Puerto Rico|01779808|0|3337177
74|UM|U.S. Minor Outlying Islands|01878752|0|0
78|VI|U.S. Virgin Islands|01802710|0|106405
